settlement_id,payment_ids,utr,settled_amount,settled_at
setl_60859892,"pay_96587291,pay_67296723,pay_88573789,pay_26097184",UTR379767873323,10316.93,2026-09-04T07:15:20
setl_7502131,"pay_18307066,pay_26293067,pay_27441073,pay_49904713",UTR322035194426,7832.78,2026-09-02T22:19:20
setl_23418229,"pay_92035152,pay_62723400,pay_81056492",UTR616844264394,6052.44,2026-08-29T15:29:20
setl_68700658,"pay_98128276,pay_56794727",UTR679452702444,2998.5,2026-09-01T09:21:20
setl_78130962,"pay_82086319,pay_26254326,pay_61492827,pay_85150274",UTR208845989590,7902.21,2026-09-04T01:28:20
setl_58962693,"pay_36972858,pay_49679269",UTR140670514166,9207.78,2026-08-24T10:48:20
setl_13971538,"pay_1416941,pay_36430320",UTR536281016820,4634.6,2026-08-28T02:45:20
setl_58837201,"pay_53899518,pay_50353600",UTR536540724558,6116.99,2026-08-30T10:01:20
setl_26371447,"pay_28732703,pay_33239545,pay_77001806",UTR832370425198,6419.76,2026-09-02T15:14:20
setl_40589234,"pay_43751190,pay_71635880,pay_22345205",UTR42757416466,5788.9400000000005,2026-09-01T20:54:20
setl_13830886,"pay_74085934,pay_23177264,pay_40214356,pay_81988205",UTR58378828482,8325.34,2026-09-03T15:53:20
setl_10059923,"pay_41350984,pay_11855401,pay_34970704",UTR392832963366,4486.57,2026-08-27T13:19:20
setl_443526,"pay_62985074,pay_5434044,pay_57700108",UTR328494095074,6123.87,2026-08-30T23:55:20
setl_43524303,"pay_36603808,pay_24359110,pay_83012240,pay_3914850",UTR970431061799,5399.43,2026-09-02T18:44:20
setl_89400040,"pay_72775361,pay_44950716,pay_29334899",UTR887489073647,8366.81,2026-08-30T11:11:20
setl_13180988,"pay_82661220,pay_35287755",UTR104339819073,2983.51,2026-08-26T02:02:20
setl_68814084,"pay_10174669,pay_75687718,pay_76238550",UTR661606927268,5211.41,2026-08-26T18:44:20
setl_12635103,"pay_2622899,pay_68608724,pay_73928504,pay_89777510",UTR966912479711,12040.77,2026-08-28T14:02:20
setl_32122184,"pay_52068982,pay_81837606,pay_35759405",UTR328671632803,7832.87,2026-09-02T12:44:20
setl_4520310,"pay_95990449,pay_30236053,pay_35294181,pay_5390589",UTR578196761840,5272.53,2026-09-03T09:35:20
setl_46716581,"pay_50618691,pay_32210350",UTR725380568666,5198.27,2026-08-26T00:15:20
setl_25913769,"pay_46320727,pay_94091630",UTR350085725389,4891.76,2026-08-28T15:14:20
setl_7127435,"pay_98088910,pay_70441945,pay_20725556,pay_56451150",UTR27294262049,10400.01,2026-09-03T02:13:20
setl_9439157,"pay_83383969,pay_98397247",UTR220526655150,8591.44,2026-08-31T12:30:20
setl_65793411,"pay_30057676,pay_2572004",UTR972150899657,5376.08,2026-08-31T19:29:20
setl_43768094,"pay_59362429,pay_19686987",UTR338009703101,2622.02,2026-08-31T04:06:20
setl_44371362,"pay_94846115,pay_97986626,pay_48216754,pay_50473709",UTR999951847618,11359.31,2026-09-02T13:26:20
setl_69771748,"pay_22874715,pay_68395731,pay_53977245",UTR348987611730,3450.34,2026-08-31T04:05:20
setl_26546565,"pay_36423797,pay_47996634,pay_85619262",UTR711676597079,6659.87,2026-09-03T07:11:20
setl_44358765,"pay_60859598,pay_16485247,pay_19474922",UTR550290108415,7493.099999999999,2026-09-01T11:05:20
setl_92933230,"pay_54130381,pay_4693484,pay_2715186",UTR136170865498,9477.59,2026-09-04T06:41:20
setl_48979602,"pay_50822519,pay_7494187,pay_13212088,pay_67736145",UTR926312423003,8218.32,2026-09-03T00:24:20
setl_83650133,"pay_47168830,pay_77795507",UTR555781764845,1709.67,2026-08-30T04:14:20
setl_83288538,"pay_35128336,pay_87113386,pay_67404799",UTR345347012021,4946.87,2026-09-01T15:01:20
setl_29482083,"pay_47998312,pay_12397481",UTR25869687221,4274.36,2026-09-02T01:28:20
setl_89479252,"pay_22607911,pay_12037527,pay_99965799",UTR210700880596,10514.52,2026-09-01T09:04:20
setl_62341081,"pay_37646346,pay_15104387,pay_14498298,pay_4498001",UTR699449579610,9620.51,2026-09-02T16:29:20
