payment_id,order_id,method,captured_at,amount
pay_65788341,order_80026133,netbanking,2026-07-30T05:16:28,701.13
pay_92929622,order_15578331,card,2026-07-30T05:57:28,1555.14
pay_33967363,order_77260623,card,2026-07-30T06:48:28,2802.31
pay_39310382,order_35005336,card,2026-07-30T07:10:28,3575.15
pay_77007570,order_86417623,netbanking,2026-07-30T08:15:28,2054.27
pay_56349852,order_54282355,card,2026-07-30T08:57:28,936.74
pay_71661032,order_37928257,upi,2026-07-30T09:47:28,3155.97
pay_22580066,order_17655193,card,2026-07-30T09:59:28,2579.38
pay_63737380,order_33501308,card,2026-07-30T10:36:28,148.79
pay_11571759,order_67799719,card,2026-07-30T11:10:28,3243.66
pay_99990646,order_40811318,upi,2026-07-30T11:24:28,3729.2
pay_61476622,order_47971330,upi,2026-07-30T12:12:28,1854.37
pay_45189788,order_99800429,netbanking,2026-07-30T12:38:28,405.98
pay_32475631,order_74628133,netbanking,2026-07-30T13:12:28,1962.96
pay_99623222,order_9898232,netbanking,2026-07-30T13:44:28,327.94
pay_17353514,order_35078206,upi,2026-07-30T14:43:28,2999.38
pay_32112625,order_95583234,upi,2026-07-30T15:32:28,4201.01
pay_25974005,order_43709478,netbanking,2026-07-30T15:43:28,3406.71
pay_61803318,order_54345166,netbanking,2026-07-30T16:20:28,367.78
pay_9209414,order_95399557,netbanking,2026-07-30T17:06:28,650.18
pay_87746255,order_92600092,card,2026-07-30T17:20:28,4826.77
pay_81488551,order_24043802,card,2026-07-30T17:26:28,3822.58
pay_37087281,order_27486663,netbanking,2026-07-30T18:20:28,3331.87
pay_47915786,order_86203046,netbanking,2026-07-30T18:22:28,1074.98
pay_21206239,order_84217555,card,2026-07-30T18:55:28,1043.9
pay_58578714,order_61780380,netbanking,2026-07-30T19:42:28,1046.82
pay_32612328,order_21820348,card,2026-07-30T20:00:28,3257.12
pay_87433581,order_68583418,upi,2026-07-30T20:56:28,3135.66
pay_69348397,order_41363923,upi,2026-07-30T21:54:28,1997.19
pay_83920082,order_75052784,upi,2026-07-30T22:23:28,2617.57
pay_36799649,order_2678777,card,2026-07-30T23:10:28,4812.93
pay_92166700,order_10620115,card,2026-07-30T23:56:28,3663.92
pay_34314839,order_56510309,upi,2026-07-31T00:59:28,4066.77
pay_78512170,order_86595095,card,2026-07-31T01:38:28,587.13
pay_40001987,order_16588058,netbanking,2026-07-31T02:21:28,404.83
pay_67770816,order_99760280,upi,2026-07-31T02:26:28,1471.36
pay_5841157,order_68078959,card,2026-07-31T03:05:28,4985.66
pay_23509848,order_98457505,netbanking,2026-07-31T03:15:28,336.54
pay_5845686,order_48924828,card,2026-07-31T04:02:28,3683.76
pay_13968282,order_70343905,netbanking,2026-07-31T04:39:28,2321.94
pay_52344090,order_37539499,upi,2026-07-31T05:11:28,4343.3
pay_69175030,order_9652221,netbanking,2026-07-31T05:25:28,4604.84
pay_92104865,order_67440676,upi,2026-07-31T05:32:28,4617.64
pay_21659069,order_55411611,card,2026-07-31T06:16:28,4785.15
