order_id,amount,fee,tax,currency,created_at,status
order_80026133,701.13,14.02,2.52,INR,2026-07-30T05:15:28,created
order_15578331,1555.14,31.1,5.6,INR,2026-07-30T05:52:28,created
order_77260623,2802.31,56.05,10.09,INR,2026-07-30T06:44:28,created
order_35005336,3575.15,71.5,12.87,INR,2026-07-30T07:05:28,created
order_86417623,2054.27,41.09,7.4,INR,2026-07-30T08:05:28,created
order_54282355,936.74,18.73,3.37,INR,2026-07-30T08:54:28,created
order_37928257,3155.97,63.12,11.36,INR,2026-07-30T09:40:28,created
order_17655193,2579.38,51.59,9.29,INR,2026-07-30T09:55:28,created
order_33501308,148.79,2.98,0.54,INR,2026-07-30T10:35:28,created
order_67799719,3243.66,64.87,11.68,INR,2026-07-30T11:06:28,created
order_40811318,3729.2,74.58,13.42,INR,2026-07-30T11:18:28,created
order_47971330,1854.37,37.09,6.68,INR,2026-07-30T12:09:28,created
order_99800429,405.98,8.12,1.46,INR,2026-07-30T12:31:28,created
order_74628133,1962.96,39.26,7.07,INR,2026-07-30T13:02:28,created
order_9898232,327.94,6.56,1.18,INR,2026-07-30T13:38:28,created
order_35078206,2999.38,59.99,10.8,INR,2026-07-30T14:35:28,created
order_95583234,4201.01,84.02,15.12,INR,2026-07-30T15:30:28,created
order_43709478,3406.71,68.13,12.26,INR,2026-07-30T15:42:28,created
order_54345166,367.78,7.36,1.32,INR,2026-07-30T16:17:28,created
order_95399557,650.18,13.0,2.34,INR,2026-07-30T16:56:28,created
order_92600092,4826.77,96.54,17.38,INR,2026-07-30T17:13:28,created
order_24043802,3822.58,76.45,13.76,INR,2026-07-30T17:22:28,created
order_27486663,3331.87,66.64,12.0,INR,2026-07-30T18:10:28,created
order_86203046,1074.98,21.5,3.87,INR,2026-07-30T18:20:28,created
order_84217555,1043.9,20.88,3.76,INR,2026-07-30T18:49:28,created
order_61780380,1046.82,20.94,3.77,INR,2026-07-30T19:41:28,created
order_21820348,3257.12,65.14,11.73,INR,2026-07-30T19:55:28,created
order_68583418,3135.66,62.71,11.29,INR,2026-07-30T20:49:28,created
order_41363923,1997.19,39.94,7.19,INR,2026-07-30T21:44:28,created
order_75052784,2617.57,52.35,9.42,INR,2026-07-30T22:17:28,created
order_2678777,4812.93,96.26,17.33,INR,2026-07-30T23:07:28,created
order_10620115,3663.92,73.28,13.19,INR,2026-07-30T23:55:28,created
order_56510309,4066.77,81.34,14.64,INR,2026-07-31T00:54:28,created
order_86595095,587.13,11.74,2.11,INR,2026-07-31T01:29:28,created
order_16588058,404.83,8.1,1.46,INR,2026-07-31T02:18:28,created
order_99760280,1471.36,29.43,5.3,INR,2026-07-31T02:23:28,created
order_68078959,4985.66,99.71,17.95,INR,2026-07-31T02:58:28,created
order_98457505,336.54,6.73,1.21,INR,2026-07-31T03:09:28,created
order_48924828,3683.76,73.68,13.26,INR,2026-07-31T03:52:28,created
order_70343905,2321.94,46.44,8.36,INR,2026-07-31T04:37:28,created
