utr,amount,credited_at
UTR536693679627,9994.98,2026-08-10T13:43:28
UTR835229660538,11915.220000000001,2026-08-11T06:29:28
UTR333145549127,8713.04,2026-08-10T08:50:28
UTR963157230313,3596.56,2026-08-03T19:06:28
UTR995114600781,11481.45,2026-08-08T08:40:28
UTR596532457062,4765.84,2026-08-08T21:33:28
UTR597015326388,7234.52,2026-08-07T11:28:28
UTR740468846017,6496.18,2026-08-09T05:48:28
UTR283551710707,6583.2,2026-08-08T09:47:28
UTR88866938427,7301.09,2026-08-07T16:37:28
UTR178935646781,4567.6900000000005,2026-08-07T14:43:28
UTR226109911782,8957.52,2026-08-10T08:29:28
UTR747619886080,10269.8,2026-08-09T07:20:28
UTR971115891827,7080.110000000001,2026-08-08T15:41:28
UTR359919278532,6526.55,2026-08-09T07:15:28
UTR461007388670,4372.67,2026-08-11T08:25:28
UTR236619140073,904.72,2026-08-09T23:49:28
UTR692230247758,4885.05,2026-08-10T02:58:28
UTR354674203134,9420.47,2026-08-08T05:29:28
UTR510052162333,10402.14,2026-08-09T05:12:28
UTR433058907357,6559.01,2026-08-08T03:39:28
UTR595126532972,7519.280000000001,2026-08-07T22:20:28
UTR830036561230,8468.84,2026-08-07T11:53:28
UTR110012036594,14141.9,2026-08-08T09:51:28
UTR335692897709,5853.3,2026-08-11T10:03:28
UTR966833160277,2807.04,2026-08-09T11:53:28
UTR625760820788,16330.67,2026-08-11T17:58:28
UTR568974165083,11833.95,2026-08-10T07:03:28
UTR524589034225,6476.05,2026-08-09T14:23:28
UTR365102009387,8166.620000000001,2026-08-10T03:14:28
UTR72521581156,5016.68,2026-08-08T07:47:28
UTR188719186245,9758.89,2026-08-11T09:44:28
UTR982149886157,6677.88,2026-08-09T06:08:28
UTR583830678296,5499.25,2026-08-07T14:00:28
UTR225352240861,11283.18,2026-08-02T06:35:28
UTR371516271966,5359.26,2026-08-09T17:51:28
UTR128058142641,14103.7,2026-08-11T21:46:28
UTR368321225897,13610.21,2026-08-08T20:45:28
UTR44415418878,5252.18,2026-08-09T15:12:28
UTR217173790515,7224.219999999999,2026-08-07T21:16:28
UTR273980705460,6612.969999999999,2026-08-10T05:58:28
UTR877342883143,8665.9,2026-08-11T18:49:28
UTR461853959739,6858.07,2026-08-08T03:16:28
UTR958781669846,10812.17,2026-08-11T18:36:28
UTR261714504186,13845.95,2026-08-11T04:13:28
UTR307295248904,6389.52,2026-08-10T17:33:28
UTR858521300653,6131.91,2026-08-06T19:49:28
UTR686069274681,9912.64,2026-08-08T17:00:28
UTR492329592276,6301.09,2026-08-09T19:50:28
UTR862085345785,2388.46,2026-08-11T07:42:28
UTR328566610960,6774.969999999999,2026-08-05T19:09:28
UTR949855926180,5551.82,2026-08-07T07:50:28
UTR772275723491,6541.34,2026-08-10T04:01:28
UTR774832975310,5288.02,2026-08-05T17:19:28
UTR535782982050,5115.24,2026-08-08T01:54:28
UTR752769787544,5417.59,2026-08-09T21:15:28
UTR516317209474,4985.389999999999,2026-08-08T02:39:28
UTR668506730017,7109.28,2026-08-11T05:06:28
UTR855943845884,6763.64,2026-08-11T04:39:28
UTR13167787957,6903.71,2026-08-11T04:12:28
UTR566754384345,9893.33,2026-08-10T04:07:28
UTR330553141470,9078.44,2026-08-09T09:44:28
UTR761859060200,9675.86,2026-08-11T10:54:28
